name,nickname,url,dob,weight,reach,height,stance
John Gunderson,Quick Guns,http://ufcstats.com/fighter-details/a0c139b34f11421a,"Jan 05, 1979",155 lbs.,"69""","5' 9""",Orthodox
Nick Bustamante,,http://ufcstats.com/fighter-details/51b1ca2a4b064101,--,170 lbs.,--,"5' 9""",
Bubba Bush,The Fightin' Texas Aggie,http://ufcstats.com/fighter-details/132505067f08c54d,"Jul 24, 1985",185 lbs.,--,"6' 0""",Orthodox
Murilo Bustamante,,http://ufcstats.com/fighter-details/85d905f7c4f5a1af,"Jul 30, 1966",183 lbs.,--,"6' 2""",Orthodox
Dakota Bush,,http://ufcstats.com/fighter-details/3033c1c080672475,"Jun 09, 1994",155 lbs.,"73""","5' 10""",Orthodox
George Bush,,http://ufcstats.com/fighter-details/f0c779dc2ca3816c,--,205 lbs.,--,"6' 1""",
Martin Buschkamp,,http://ufcstats.com/fighter-details/8fc30d8cebb17116,"Jan 06, 1991",145 lbs.,--,"5' 9""",Orthodox
Nah-Shon Burrell,The Rock n Rolla,http://ufcstats.com/fighter-details/2c64c035485906aa,"Feb 05, 1990",170 lbs.,--,"5' 11""",Orthodox
Herbert Burns,The Blaze,http://ufcstats.com/fighter-details/4f140403000158b5,"Feb 02, 1988",145 lbs.,"73""","5' 9""",Orthodox
Josh Burns,The Hammer,http://ufcstats.com/fighter-details/1e092415a7eeaf65,"May 15, 1978",244 lbs.,--,"6' 1""",
Gilbert Burns,Durinho,http://ufcstats.com/fighter-details/23024fdfc966410a,"Jul 20, 1986",170 lbs.,"71""","5' 10""",Orthodox
Mikey Burnett,The Eastside Assassin,http://ufcstats.com/fighter-details/4c805f5f58a75df0,"Apr 12, 1974",170 lbs.,--,"5' 6""",Orthodox
Kevin Burns,The Fire,http://ufcstats.com/fighter-details/a6d8bfe9e0c8153b,"Mar 03, 1980",170 lbs.,"74""","5' 10""",Orthodox
Felipe Bunes,Felipinho,http://ufcstats.com/fighter-details/53c10176e3bc7416,"Oct 29, 1989",125 lbs.,"69""","5' 7""",Orthodox
Shawn Bunch,Bunch the Great,http://ufcstats.com/fighter-details/6e9af164ab91a229,"Mar 19, 1983",135 lbs.,--,"5' 5""",
Josh Bumgarner,,http://ufcstats.com/fighter-details/9900ab86a4c458bd,--,170 lbs.,--,"6' 1""",
Lee Kwan Bum,,http://ufcstats.com/fighter-details/c0342805a1948cbb,--,286 lbs.,--,"6' 2""",Orthodox
Modestas Bukauskas,The Baltic Gladiator,http://ufcstats.com/fighter-details/476fe566d2df676e,"Feb 10, 1994",205 lbs.,"78""","6' 3""",Switch
Paul Buentello,The Headhunter,http://ufcstats.com/fighter-details/f0abbb6f3444dae7,"Jan 16, 1974",245 lbs.,"77""","6' 2""",Orthodox
Mayra Bueno Silva,Sheetara,http://ufcstats.com/fighter-details/cc8c623cca88f54f,"Aug 22, 1991",135 lbs.,"66""","5' 6""",Orthodox
Francisco Bueno,,http://ufcstats.com/fighter-details/a72d260b436924c4,--,225 lbs.,--,"5' 9""",Orthodox
Mike Budnik,,http://ufcstats.com/fighter-details/b98209144b63ae26,"Aug 08, 1974",145 lbs.,"68""","5' 9""",Orthodox
Julia Budd,,http://ufcstats.com/fighter-details/dcdc4503b9d49977,"Jul 04, 1983",145 lbs.,"67""","5' 7""",
Martin Buday,Badys,http://ufcstats.com/fighter-details/8eb046f83e82bf26,"Nov 11, 1991",265 lbs.,"77""","6' 4""",Orthodox
Joaquin Buckley,New Mansa,http://ufcstats.com/fighter-details/b9437600497350f3,"Apr 27, 1994",170 lbs.,"76""","5' 10""",Southpaw
Courtney Buck,,http://ufcstats.com/fighter-details/3feed7d02711d8b7,"Mar 19, 1982",135 lbs.,--,"5' 10""",Orthodox
Justin Buchholz,,http://ufcstats.com/fighter-details/231926533134ec1f,"Aug 22, 1983",155 lbs.,"73""","6' 0""",Orthodox
Lukasz Brzeski,The Bull,http://ufcstats.com/fighter-details/0c25d0a5e8cdbf19,"May 17, 1992",236 lbs.,"78""","6' 4""",Orthodox
Zak Bucia,,http://ufcstats.com/fighter-details/6bbb8dc6e128779e,--,170 lbs.,--,"5' 10""",
Josh Bryant,The Beast,http://ufcstats.com/fighter-details/01f022fa494188e2,"Apr 23, 1980",185 lbs.,--,"5' 10""",Orthodox
Cody Brundage,,http://ufcstats.com/fighter-details/f14f644d41ade29f,"May 16, 1994",185 lbs.,"72""","6' 0""",Orthodox
Justin Bruckmann,Loaf,http://ufcstats.com/fighter-details/5f8e00c27b7e7410,--,170 lbs.,--,"5' 9""",Orthodox
Jules Bruchez,,http://ufcstats.com/fighter-details/d1dcd4e96464a53d,"Aug 16, 1977",205 lbs.,--,"6' 0""",Southpaw
Junie Browning,,http://ufcstats.com/fighter-details/d74cba8566291bfa,"May 12, 1984",155 lbs.,--,"5' 9""",Orthodox
Travis Browne,Hapa,http://ufcstats.com/fighter-details/3236bf606fe9fa5b,"Jul 17, 1982",255 lbs.,"79""","6' 6""",Orthodox
Humberto Brown Morrison,,http://ufcstats.com/fighter-details/e9e7e1c8ff289e1b,"Nov 03, 1984",145 lbs.,--,"5' 10""",
Stephanie Bruna,Rondinha,http://ufcstats.com/fighter-details/1b35af4d1529adf6,"Dec 16, 1999",115 lbs.,--,--,
TJ Brown,Downtown,http://ufcstats.com/fighter-details/d31cbcdd7d69536d,"May 22, 1990",145 lbs.,"72""","5' 9""",Switch
Damien Brown,Beatdown,http://ufcstats.com/fighter-details/d024ed963e8bf7ea,"Dec 25, 1984",155 lbs.,"68""","5' 10""",Orthodox
Frederick Brown,,http://ufcstats.com/fighter-details/880c6b788266a3ef,--,235 lbs.,--,"6' 0""",
Randy Brown,Rudeboy,http://ufcstats.com/fighter-details/c6aee362c7a7d482,"Jul 08, 1990",170 lbs.,"78""","6' 3""",Orthodox
Dominic Brown,,http://ufcstats.com/fighter-details/52b3ec072ad497a4,"Jun 04, 1982",190 lbs.,--,"5' 11""",
Mike Brown,,http://ufcstats.com/fighter-details/e0b74df14f52cd15,"Sep 08, 1975",145 lbs.,"70""","5' 6""",Orthodox
Lee Brousseau,Manimal,http://ufcstats.com/fighter-details/0974d8d4053a7237,"Oct 04, 1974",205 lbs.,--,"6' 1""",
Jarred Brooks,The Monkey God,http://ufcstats.com/fighter-details/81d9df19e255b8b6,"May 02, 1993",125 lbs.,"62""","5' 3""",Switch
Will Brooks,Ill,http://ufcstats.com/fighter-details/b6e6c3b1dcaae0a1,"Oct 08, 1986",155 lbs.,"72""","5' 10""",Orthodox
Matt Brown,The Immortal,http://ufcstats.com/fighter-details/31123249b0bbf52e,"Jan 10, 1981",170 lbs.,"75""","6' 0""",Orthodox
Jonathan Brookins,,http://ufcstats.com/fighter-details/b0a6124751a56bc4,"Aug 13, 1985",145 lbs.,"74""","6' 0""",Southpaw
Mike Bronzoulis,The Greek,http://ufcstats.com/fighter-details/df3c39573d01f55b,"Jan 05, 1979",155 lbs.,--,"6' 0""",
Drew Brokenshire,,http://ufcstats.com/fighter-details/aa571d75f80fde7d,--,--,--,--,
Kaik Brito,,http://ufcstats.com/fighter-details/b07f14fc0e53f8bd,"Mar 26, 1997",170 lbs.,--,--,
Marcelo Brito,Jungle Boy,http://ufcstats.com/fighter-details/3a97fda0de6f1fa4,"Nov 27, 1977",170 lbs.,--,"6' 1""",Orthodox
Joanderson Brito,Tubarao,http://ufcstats.com/fighter-details/791c8437b341fba5,"Feb 11, 1995",145 lbs.,"72""","5' 8""",Orthodox
Henry Briones,Bure,http://ufcstats.com/fighter-details/01fcef7e3d051722,"Oct 22, 1980",135 lbs.,"69""","5' 8""",Orthodox
Marcos Brigagao,Ironside,http://ufcstats.com/fighter-details/11547e29f253fb89,"Apr 01, 1996",205 lbs.,"76""","6' 3""",Southpaw
Mack Brewer,,http://ufcstats.com/fighter-details/106a925d947a0de9,--,205 lbs.,--,--,
Robert Breslin,The Bullet,http://ufcstats.com/fighter-details/e319d6697d41f3cf,--,155 lbs.,--,"5' 11""",
Chris Brennan,The Westside Strangler,http://ufcstats.com/fighter-details/b19fc66613dc75b9,"Oct 12, 1971",170 lbs.,--,"5' 8""",Orthodox
Charlie Brenneman,The Spaniard,http://ufcstats.com/fighter-details/98f6da59d765ec94,"Feb 09, 1981",155 lbs.,"70""","5' 10""",Orthodox
Elves Brener,,http://ufcstats.com/fighter-details/48a9a128784d53d1,"Sep 27, 1997",155 lbs.,"72""","5' 10""",Orthodox
Tom Breese,,http://ufcstats.com/fighter-details/1588b787bda7b540,"Sep 26, 1991",185 lbs.,"73""","6' 3""",Southpaw
Roman Bravo-Young,,http://ufcstats.com/fighter-details/37ce890a4670b287,--,205 lbs.,--,--,
Mike Breeden,Money,http://ufcstats.com/fighter-details/d80ee110748171ac,"Apr 21, 1989",155 lbs.,"70""","5' 10""",Orthodox
Martin Bravo,El Toro,http://ufcstats.com/fighter-details/9c44f290f5726d95,"Sep 21, 1993",145 lbs.,"71""","5' 8""",Southpaw
Diego Brandao,DB,http://ufcstats.com/fighter-details/c2e3e67b5911bfb7,"May 27, 1987",145 lbs.,"64""","5' 7""",Orthodox
Bruna Brasil,,http://ufcstats.com/fighter-details/7138a15258dabf20,"Sep 07, 1993",115 lbs.,"65""","5' 6""",Orthodox
David Branch,,http://ufcstats.com/fighter-details/d2c55d1d2e67773b,"Sep 26, 1981",185 lbs.,"78""","6' 1""",Orthodox
Ebenezer Fontes Braga,Pitbull,http://ufcstats.com/fighter-details/dc950d59dc590aca,"Apr 14, 1969",199 lbs.,--,"6' 0""",Orthodox
Joe Brammer,The South Side Strangler,http://ufcstats.com/fighter-details/013da757877044a2,"Aug 23, 1983",155 lbs.,--,"5' 8""",Orthodox
Sean Brady,,http://ufcstats.com/fighter-details/45f7cb591c3ab00b,"Nov 23, 1992",170 lbs.,"72""","5' 10""",Orthodox
Ashe Bowman,The Archer,http://ufcstats.com/fighter-details/8a0a35e7c74bebcc,"Nov 17, 1976",155 lbs.,--,"5' 9""",
Roger Bowling,Relentless,http://ufcstats.com/fighter-details/3b9f723e2720a238,"Dec 05, 1982",155 lbs.,"68""","5' 9""",Orthodox
Brian Bowles,,http://ufcstats.com/fighter-details/b26d3e3746fb4024,"Jun 22, 1980",135 lbs.,"70""","5' 7""",Orthodox
Kyron Bowen,Bullseye,http://ufcstats.com/fighter-details/5488b3c67600333a,"Dec 22, 1993",185 lbs.,"73""","6' 3""",Orthodox
Melton Bowen,The Punisher,http://ufcstats.com/fighter-details/81ca2c245b19b3c5,"Jul 16, 1969",225 lbs.,--,"6' 0""",Orthodox
Paul Bradley,The Gentleman,http://ufcstats.com/fighter-details/c7011de4765d2497,"Jun 13, 1983",170 lbs.,--,"5' 9""",Orthodox
Tai Bowden,,http://ufcstats.com/fighter-details/2efbc83a6b9b7f86,--,230 lbs.,--,"5' 11""",
Jess Bouscal,,http://ufcstats.com/fighter-details/38b1417ec17072da,--,155 lbs.,--,--,
Mike Bourke,The Rhino,http://ufcstats.com/fighter-details/dfdd0c5dd0d4bc23,--,275 lbs.,--,"6' 0""",Orthodox
Gregory Bouchelaghem,,http://ufcstats.com/fighter-details/59851163aaf1aed8,--,183 lbs.,--,"6' 2""",Switch
Francois Botha,White Buffalo,http://ufcstats.com/fighter-details/545d549d6bf87187,"Sep 28, 1968",260 lbs.,--,"6' 2""",Orthodox
Roy Boughton,Black Dynamite,http://ufcstats.com/fighter-details/2aaf0181432adf0b,--,205 lbs.,--,"6' 0""",
Rich Bouphanouvong,,http://ufcstats.com/fighter-details/611b9c068c9e2c44,--,170 lbs.,--,"5' 7""",
Marcus Bossett,The Grasshopper,http://ufcstats.com/fighter-details/e8fb8e53bc2e29d6,--,215 lbs.,--,"6' 1""",Orthodox
Steve Bosse,The Boss,http://ufcstats.com/fighter-details/e023fa2e648ea0f1,"Jul 29, 1981",205 lbs.,"72""","5' 11""",Orthodox
Tanner Boser,The Bulldozer,http://ufcstats.com/fighter-details/04c8b08b16a5b99e,"Aug 02, 1991",205 lbs.,"75""","6' 2""",Orthodox
Kevin Borjas,El Gallo Negro,http://ufcstats.com/fighter-details/34b96d52db1d26e6,"Dec 06, 1997",125 lbs.,--,--,Orthodox
Igor Borisov,,http://ufcstats.com/fighter-details/0313bf497de9c470,--,235 lbs.,--,"6' 0""",Orthodox
Ray Borg,The Tazmexican Devil,http://ufcstats.com/fighter-details/a4de54ea806fb525,"Aug 04, 1993",135 lbs.,"63""","5' 4""",Orthodox
Calen Born,,http://ufcstats.com/fighter-details/3c85e04b08a05751,"May 24, 1988",170 lbs.,"72""","5' 8""",Switch
Stephan Bonnar,The American Psycho,http://ufcstats.com/fighter-details/c6a33ff198aaaeeb,"Apr 04, 1977",205 lbs.,"79""","6' 4""",Orthodox
Jesse Bongfeldt,Water,http://ufcstats.com/fighter-details/934de214814b8ff4,"Aug 28, 1980",185 lbs.,--,"6' 0""",Orthodox
Marcos Bonilla,Murder Marx,http://ufcstats.com/fighter-details/d311fbefff44a39b,--,145 lbs.,--,"5' 10""",
Tony Bonello,The Gun,http://ufcstats.com/fighter-details/702a72aa7a266d86,--,185 lbs.,--,"6' 2""",
Luc Bondole,,http://ufcstats.com/fighter-details/8691881b31c16b88,--,205 lbs.,--,"6' 2""",
Rogerio Bontorin,,http://ufcstats.com/fighter-details/07a2bdaa0afdd831,"Apr 25, 1992",125 lbs.,"67""","5' 5""",Orthodox
Denys Bondar,Psycho,http://ufcstats.com/fighter-details/2526be54e6a0e62a,"Jun 27, 1992",125 lbs.,"69""","5' 6""",Orthodox
Kyle Bolt,,http://ufcstats.com/fighter-details/9d455d5cfe6a0e35,--,185 lbs.,--,"6' 2""",
Kotetsu Boku,,http://ufcstats.com/fighter-details/d227958e8a0c1466,"May 27, 1977",154 lbs.,--,"5' 9""",Orthodox
Gaston Bolanos,The Dreamkiller,http://ufcstats.com/fighter-details/96924b0019b3aff1,"Sep 14, 1992",135 lbs.,"69""","5' 7""",Orthodox
Mandy Bohm,Monster,http://ufcstats.com/fighter-details/297a2b35444c245b,"Jul 30, 1989",125 lbs.,"71""","5' 7""",Orthodox
Jerry Bohlander,,http://ufcstats.com/fighter-details/93892752c5fc23ca,"Feb 12, 1974",199 lbs.,--,"5' 11""",Orthodox
Derek Bohi,Marshmallow,http://ufcstats.com/fighter-details/70a1c7626b5e0599,--,260 lbs.,--,"6' 4""",
Roman Bogatov,,http://ufcstats.com/fighter-details/d61316139d68dbe3,"Dec 15, 1990",155 lbs.,"73""","5' 8""",Orthodox
Jay Bogan,,http://ufcstats.com/fighter-details/53c21779d84ceb75,--,145 lbs.,--,--,
Galore Bofando,,http://ufcstats.com/fighter-details/8a56ea383fd26e52,"May 22, 1982",170 lbs.,"72""","5' 11""",Switch
Tim Boetsch,The Barbarian,http://ufcstats.com/fighter-details/c80095f6092271a7,"Jan 28, 1981",185 lbs.,"74""","6' 0""",Orthodox
Jeremy Boczulak,,http://ufcstats.com/fighter-details/1afd74f8cb0719f3,--,--,--,--,
Byron Bloodworth,,http://ufcstats.com/fighter-details/ecdf14f4f8643d39,"Aug 16, 1983",135 lbs.,--,"5' 8""",Orthodox
Arlene Blencowe,Angerfist,http://ufcstats.com/fighter-details/35d6337320a4ae48,"Apr 11, 1983",145 lbs.,--,"5' 5""",
Tereza Bleda,,http://ufcstats.com/fighter-details/59c438c81fbf3ece,"Nov 30, 2001",125 lbs.,"71""","5' 9""",Orthodox
Curtis Blaydes,Razor,http://ufcstats.com/fighter-details/fa6796c55d6c5440,"Feb 18, 1991",265 lbs.,"80""","6' 4""",Orthodox
David Blanco,,http://ufcstats.com/fighter-details/ebf298f8ac7e232b,--,145 lbs.,--,"5' 7""",
Maximo Blanco,Maxi,http://ufcstats.com/fighter-details/4a1329cc8eb0928a,"Oct 16, 1983",145 lbs.,"71""","5' 8""",Orthodox
Erin Blanchfield,Cold Blooded,http://ufcstats.com/fighter-details/669970f7feba8ecd,"May 04, 1999",125 lbs.,"66""","5' 4""",Orthodox
Da'Mon Blackshear,The Monster,http://ufcstats.com/fighter-details/da22387a0407a2dc,"Aug 12, 1994",135 lbs.,"72""","5' 10""",Switch
Sherrard Blackledge,The Thriller,http://ufcstats.com/fighter-details/0e5c79b3594ff0ad,"Aug 16, 1993",155 lbs.,"75""","5' 11""",Orthodox
Tom Blackledge,,http://ufcstats.com/fighter-details/2adb11835acd815b,--,205 lbs.,--,--,Orthodox
Jason Blackford,,http://ufcstats.com/fighter-details/619d807fa54ae8f7,--,--,--,--,
Brad Blackburn,Bad Brad,http://ufcstats.com/fighter-details/7e69a4b0961aa555,"May 25, 1977",170 lbs.,"73""","5' 10""",Orthodox
Jason Black,The Black Legion,http://ufcstats.com/fighter-details/b2f743746e8dcfa2,"Jul 15, 1972",155 lbs.,--,"5' 8""",Orthodox
Jan Blachowicz,,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8,"Feb 24, 1983",205 lbs.,"78""","6' 2""",Orthodox
Simon Biyong,,http://ufcstats.com/fighter-details/27ab7257bf6a3b65,"Apr 05, 1991",205 lbs.,--,--,
Scott Bills,,http://ufcstats.com/fighter-details/53f02bbc41d99432,--,170 lbs.,--,"5' 10""",
Jonas Bilharinho,,http://ufcstats.com/fighter-details/ebbf571f349e79d9,"May 22, 1990",145 lbs.,"75""","5' 11""",Switch
Blake Bilder,El Animal,http://ufcstats.com/fighter-details/5095b0920a3602aa,"Jul 12, 1990",145 lbs.,"68""","5' 8""",Switch
Jeremiah Billington,,http://ufcstats.com/fighter-details/b3b6e80b7d5f8f0d,"Nov 14, 1977",205 lbs.,--,"5' 9""",Orthodox
David Bielkheden,,http://ufcstats.com/fighter-details/1efa064872f089d0,"Jun 06, 1979",155 lbs.,"71""","5' 10""",Orthodox
Bibulatov Magomed,Chaborz,http://ufcstats.com/fighter-details/87f19d19f4cb73f8,"Aug 22, 1988",125 lbs.,"65""","5' 5""",Orthodox
KB Bhullar,The Bengal,http://ufcstats.com/fighter-details/9cd047a828dd7515,"Oct 12, 1991",185 lbs.,"78""","6' 4""",Switch
Khadzhi Bestaev,Best,http://ufcstats.com/fighter-details/e05f4ce199baca91,"Jul 16, 1988",185 lbs.,"76""","6' 6""",
Arjan Bhullar,,http://ufcstats.com/fighter-details/7e511f8d842a109d,"May 13, 1986",245 lbs.,"75""","6' 1""",Orthodox
Fernando Bettega,,http://ufcstats.com/fighter-details/a524710c3ef918fa,"Mar 10, 1980",170 lbs.,--,--,
Matt Bessette,The Mangler,http://ufcstats.com/fighter-details/0b8d512c79b4baf3,"Dec 28, 1984",145 lbs.,"70""","5' 10""",Orthodox
Scott Bessac,,http://ufcstats.com/fighter-details/3f24c96753dbd9f9,--,245 lbs.,--,"6' 4""",
Anton Berzin,The Body Snatcher,http://ufcstats.com/fighter-details/8ba8e8d7eafa7267,"Sep 29, 1989",205 lbs.,--,"6' 2""",Orthodox
Allen Berube,Monstah Lobstah,http://ufcstats.com/fighter-details/aebfb84d1f6d2d8c,"Aug 25, 1974",155 lbs.,--,"5' 8""",Orthodox
Edson Berto,Little Tiger,http://ufcstats.com/fighter-details/66766984842c13dc,"Jul 05, 1983",155 lbs.,--,"5' 6""",Orthodox
Dieusel Berto,,http://ufcstats.com/fighter-details/0db70ca89e1c7374,--,200 lbs.,--,"5' 9""",
Keith Berry,,http://ufcstats.com/fighter-details/0b935b9bbbe5fc07,"Oct 25, 1987",185 lbs.,--,"6' 1""",
Dave Berry,,http://ufcstats.com/fighter-details/b3bbe88fecd6a0d2,--,--,--,--,
Talita Bernardo,,http://ufcstats.com/fighter-details/5b2325cd70dbe2ea,"Mar 04, 1987",135 lbs.,"68""","5' 4""",Orthodox
Steve Berger,The Red Nosed Pitbull,http://ufcstats.com/fighter-details/21b1132949f2a9b0,"May 20, 1973",170 lbs.,--,"5' 11""",Orthodox
Len Bentley,,http://ufcstats.com/fighter-details/592d23aed850e652,"Nov 30, 1982",155 lbs.,--,"5' 9""",
Ryan Benoit,Baby Face,http://ufcstats.com/fighter-details/20999e27ddd94bda,"Aug 25, 1989",125 lbs.,"68""","5' 5""",Orthodox
Pat Benson,,http://ufcstats.com/fighter-details/a25f3dc0df974597,--,155 lbs.,--,"5' 9""",
Joe Benoit,,http://ufcstats.com/fighter-details/a30f6d375dea5f9b,"Mar 12, 1982",170 lbs.,--,"5' 9""",Orthodox
DeAnna Bennett,The Argentine Assassin,http://ufcstats.com/fighter-details/404ecb2700844072,"Nov 18, 1984",125 lbs.,"68""","5' 4""",Orthodox
Josh Bennett,,http://ufcstats.com/fighter-details/c3ac8d0da7b05772,--,259 lbs.,--,"6' 4""",Orthodox
Lance Benoist,,http://ufcstats.com/fighter-details/5431dccc09118234,"Aug 26, 1988",170 lbs.,"72""","5' 11""",Southpaw
Charles Bennett,Krazy Horse,http://ufcstats.com/fighter-details/8dc4f34c1f50d00d,"Nov 23, 1979",155 lbs.,--,"5' 8""",Orthodox
Karla Benitez,,http://ufcstats.com/fighter-details/6104730621ff318d,--,113 lbs.,--,"5' 3""",
Gabriel Benitez,Moggly,http://ufcstats.com/fighter-details/436f970c9ea9169c,"Jun 15, 1988",155 lbs.,"71""","5' 8""",Southpaw
Dave Beneteau,Dangerous,http://ufcstats.com/fighter-details/9fd1f08dd4aec14a,--,250 lbs.,--,"6' 2""",Orthodox
Mike Bencic,Batman,http://ufcstats.com/fighter-details/a71feb7ea7592a71,--,215 lbs.,--,"6' 0""",Orthodox
Joseph Benavidez,,http://ufcstats.com/fighter-details/80eacd4da0617c57,"Jul 31, 1984",125 lbs.,"65""","5' 4""",Southpaw
Diana Belbita,The Warrior Princess,http://ufcstats.com/fighter-details/d7e40dca3ae125be,"Jun 26, 1996",115 lbs.,"68""","5' 7""",Orthodox
Alan Belcher,The Talent,http://ufcstats.com/fighter-details/4130a743d9d22163,"Apr 24, 1984",185 lbs.,"75""","6' 2""",Orthodox
Vitor Belfort,The Phenom,http://ufcstats.com/fighter-details/0ee783aa00e468f0,"Apr 01, 1977",185 lbs.,"74""","6' 0""",Southpaw
Mirsad Bektic,,http://ufcstats.com/fighter-details/cbd3e590a85b18c5,"Feb 16, 1991",145 lbs.,"70""","5' 8""",Orthodox
Allan Begosso,Mini,http://ufcstats.com/fighter-details/d6ed764f8b78d32a,"Nov 23, 1995",135 lbs.,"66""","5' 5""",Orthodox
Lyle Beerbohm,Fancy Pants,http://ufcstats.com/fighter-details/babc6b5745335f18,"Feb 05, 1979",155 lbs.,--,"5' 10""",Southpaw
Chase Beebe,,http://ufcstats.com/fighter-details/b16a7e6a627e9789,"Mar 29, 1985",135 lbs.,"67""","5' 7""",Orthodox
Rolando Bedoya,The Machine,http://ufcstats.com/fighter-details/40a456a25d52ee65,"Jan 13, 1997",170 lbs.,"74""","5' 11""",Orthodox
Johnny Bedford,Brutal,http://ufcstats.com/fighter-details/ffc3e6daaa6da0b7,"Jan 06, 1983",135 lbs.,"71""","5' 10""",Orthodox
Eric Bedard,Lucky Strikes,http://ufcstats.com/fighter-details/ce05955c26c3c090,"Sep 11, 1984",239 lbs.,--,"6' 2""",
Jeff Bedard,Little Popeye,http://ufcstats.com/fighter-details/93bf96be327fcd98,"Feb 06, 1970",145 lbs.,--,"5' 6""",Orthodox
Ariel Beck,,http://ufcstats.com/fighter-details/b96939f2b8d88e82,"Sep 16, 1990",125 lbs.,"66""","5' 6""",Southpaw
Salvador Becerra,,http://ufcstats.com/fighter-details/4fd76e7ba8313457,--,155 lbs.,--,"5' 9""",
Rudy Bears,,http://ufcstats.com/fighter-details/74f13066b1417ef3,--,170 lbs.,--,"5' 11""",Southpaw
Donovan Beard,The Highlight Reel,http://ufcstats.com/fighter-details/3a6ac598320ca7f2,"Nov 05, 1989",185 lbs.,"78""","6' 2""",Orthodox
Chris Beal,Real Deal,http://ufcstats.com/fighter-details/55f446032177b119,"Aug 06, 1985",125 lbs.,"69""","5' 7""",Orthodox
Ryan Bastianelli,Relentless,http://ufcstats.com/fighter-details/29508aff4d93cbbe,--,135 lbs.,--,"5' 5""",
